customer_id,name,email,phone,gender,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
5317-DDDD0015,Diana Miller,diana.miller@example.com,+1-555-210-3717,Male,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.01,2290.4,0
2924-DDDD0016,Charlie Taylor,charlie.taylor@example.com,+1-555-370-8441,Female,Yes,No,54,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card,79.18,4274.83,0
6924-DDDD0017,Ian Davis,ian.davis@example.com,+1-555-643-9381,Female,No,No,30,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,82.19,2430.1,0
9809-DDDD0018,Charlie Miller,charlie.miller@example.com,+1-555-821-4379,Female,Yes,Yes,45,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,89.73,4042.86,0
1860-AAAA0019,Alice Taylor,alice.taylor@example.com,+1-555-121-2569,Male,No,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.98,1757.55,1
8492-AAAA0020,George Johnson,george.johnson@example.com,+1-555-953-2487,Female,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,109.89,3759.67,0
8901-AAAA0021,Fiona Hall,fiona.hall@example.com,+1-555-667-4823,Male,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,34.0,460.38,0
2307-BBBB0022,Ethan Brown,ethan.brown@example.com,+1-555-532-3622,Female,No,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer,84.63,3663.06,1
7346-AAAA0023,Charlie Davis,charlie.davis@example.com,+1-555-499-7735,Female,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.6,1973.93,1
3821-BBBB0024,Hannah Wilson,hannah.wilson@example.com,+1-555-651-1913,Female,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,101.45,2222.07,1
7925-CCCC0025,Hannah Clark,hannah.clark@example.com,+1-555-378-6229,Female,No,Yes,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.41,5211.96,1
3100-CCCC0026,Jane Davis,jane.davis@example.com,+1-555-147-9935,Female,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,32.54,1711.86,0
1436-BBBB0027,Fiona White,fiona.white@example.com,+1-555-181-6397,Female,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,32.15,1149.63,0
3572-CCCC0028,Jane Brown,jane.brown@example.com,+1-555-480-7695,Female,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.93,617.27,1
1308-AAAA0029,Jane Brown,jane.brown@example.com,+1-555-641-5862,Female,No,No,38,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,91.84,3524.11,0
1491-CCCC0030,Alice Wilson,alice.wilson@example.com,+1-555-339-9375,Male,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer,112.79,7882.94,0
6308-BBBB0031,Charlie Wilson,charlie.wilson@example.com,+1-555-653-9180,Male,Yes,No,57,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card,95.29,5446.1,0
2914-CCCC0032,Jane Brown,jane.brown@example.com,+1-555-565-5734,Female,Yes,No,20,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card,71.41,1412.14,1
3925-AAAA0033,Diana Thomas,diana.thomas@example.com,+1-555-536-5689,Female,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,113.14,1029.99,1
4290-BBBB0034,Charlie Hall,charlie.hall@example.com,+1-555-332-5096,Female,Yes,No,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.63,788.43,0
4229-CCCC0035,Jane Thomas,jane.thomas@example.com,+1-555-604-8151,Male,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,123.09,519.14,1
4577-BBBB0036,Ethan Doe,ethan.doe@example.com,+1-555-461-5814,Female,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,23.86,1185.3,1
3571-AAAA0037,George Wilson,george.wilson@example.com,+1-555-808-9474,Male,Yes,Yes,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,84.32,453.07,1
3652-CCCC0038,Julia Johnson,julia.johnson@example.com,+1-555-628-7974,Male,No,Yes,20,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,85.57,1706.9,0
2216-DDDD0039,Diana Taylor,diana.taylor@example.com,+1-555-995-7265,Male,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,112.23,4198.28,1
1521-AAAA0040,Julia White,julia.white@example.com,+1-555-540-4807,Male,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,116.53,2564.31,1
4066-CCCC0041,Alice Doe,alice.doe@example.com,+1-555-738-1473,Male,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.31,1191.24,0
1340-AAAA0042,Jane Brown,jane.brown@example.com,+1-555-221-2857,Female,Yes,No,68,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,92.47,6300.61,1
9250-DDDD0043,John White,john.white@example.com,+1-555-831-6036,Female,Yes,Yes,44,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,88.69,3880.48,1
4253-BBBB0044,Alice Taylor,alice.taylor@example.com,+1-555-890-5342,Female,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,111.62,3822.61,1
6633-CCCC0045,Jane Davis,jane.davis@example.com,+1-555-287-9748,Female,No,No,42,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,80.26,3375.31,0
1227-DDDD0046,Ian Hall,ian.hall@example.com,+1-555-223-8033,Female,No,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,34.9,302.98,0
3602-AAAA0047,Alice Taylor,alice.taylor@example.com,+1-555-346-6054,Male,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,105.02,720.11,1
9318-CCCC0048,Ethan Doe,ethan.doe@example.com,+1-555-258-4338,Female,Yes,No,68,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.15,7546.15,1
5853-DDDD0049,Alice Davis,alice.davis@example.com,+1-555-391-8757,Female,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.6,503.86,1
3168-DDDD0050,Hannah Davis,hannah.davis@example.com,+1-555-902-7294,Male,No,No,31,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,95.58,2941.64,1
3748-AAAA0051,Alice Clark,alice.clark@example.com,+1-555-223-9186,Female,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,37.03,1279.72,0
2593-BBBB0052,Julia Wilson,julia.wilson@example.com,+1-555-839-7415,Male,No,Yes,57,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,97.52,5524.08,0
2493-CCCC0053,Ian Doe,ian.doe@example.com,+1-555-970-6459,Female,No,No,61,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,66.41,4034.82,0
8883-BBBB0054,George Davis,george.davis@example.com,+1-555-828-4801,Male,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.19,994.18,0
7438-AAAA0055,George White,george.white@example.com,+1-555-707-4518,Female,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,30.93,1663.32,0
9438-DDDD0056,Ethan Brown,ethan.brown@example.com,+1-555-661-6076,Female,No,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,108.52,3478.04,1
2082-DDDD0057,Julia Thomas,julia.thomas@example.com,+1-555-556-1645,Male,Yes,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,91.74,6096.97,0
1010-CCCC0058,Charlie Wilson,charlie.wilson@example.com,+1-555-902-2698,Male,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.78,1427.32,0
3006-DDDD0059,Charlie Thomas,charlie.thomas@example.com,+1-555-869-4570,Male,Yes,No,10,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card,90.72,915.89,0
4529-AAAA0060,Hannah Davis,hannah.davis@example.com,+1-555-617-4426,Male,Yes,Yes,2,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,87.79,186.45,1
1944-CCCC0061,Charlie Taylor,charlie.taylor@example.com,+1-555-732-5785,Male,No,No,66,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card,98.5,6502.78,0
7248-BBBB0062,Charlie Brown,charlie.brown@example.com,+1-555-578-1390,Male,Yes,No,60,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,81.37,4857.01,1
4343-CCCC0063,Ian Thomas,ian.thomas@example.com,+1-555-674-2281,Male,No,No,17,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,80.97,1371.16,1
2759-AAAA0064,Ian Thomas,ian.thomas@example.com,+1-555-676-1506,Male,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.51,340.27,1
6163-BBBB0065,Ethan Doe,ethan.doe@example.com,+1-555-798-1957,Female,No,No,16,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.47,1265.63,1
4875-AAAA0066,Hannah Brown,hannah.brown@example.com,+1-555-838-7437,Female,No,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.73,1119.34,1
9459-BBBB0067,Ian Johnson,ian.johnson@example.com,+1-555-862-6596,Male,Yes,Yes,39,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer,93.58,3651.17,1
8019-CCCC0068,Hannah Davis,hannah.davis@example.com,+1-555-929-7262,Female,No,Yes,31,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer,96.6,2973.28,0
5477-BBBB0069,Ethan Johnson,ethan.johnson@example.com,+1-555-790-7621,Female,Yes,No,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,103.54,114.08,1
1514-DDDD0070,Bob Brown,bob.brown@example.com,+1-555-663-3889,Female,Yes,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,116.47,1293.26,1
8856-DDDD0071,Julia Clark,julia.clark@example.com,+1-555-709-2342,Female,Yes,No,4,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,84.66,369.48,1
2448-DDDD0072,Ethan Davis,ethan.davis@example.com,+1-555-494-8215,Male,No,Yes,71,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Bank transfer,86.23,6157.9,0
1198-DDDD0073,Bob Davis,bob.davis@example.com,+1-555-712-7618,Female,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,95.96,2510.58,1
2780-AAAA0074,John White,john.white@example.com,+1-555-851-8753,Male,Yes,No,50,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.99,4969.21,0
5422-BBBB0075,Ethan Brown,ethan.brown@example.com,+1-555-649-3005,Female,Yes,No,12,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card,72.3,913.21,0
6713-DDDD0076,Fiona Thomas,fiona.thomas@example.com,+1-555-827-3183,Female,No,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,25.18,1663.77,0
4504-AAAA0077,Hannah Doe,hannah.doe@example.com,+1-555-617-9950,Female,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,16.86,809.4,0
3567-BBBB0078,Fiona Clark,fiona.clark@example.com,+1-555-423-8364,Male,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,99.9,5294.37,0
5625-CCCC0079,Diana Wilson,diana.wilson@example.com,+1-555-210-2823,Female,No,No,71,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer,97.33,6879.43,0
6352-DDDD0080,Ethan Doe,ethan.doe@example.com,+1-555-649-2138,Male,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,92.42,173.64,1
3557-CCCC0081,Ian Doe,ian.doe@example.com,+1-555-796-1723,Female,No,Yes,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,30.26,725.22,0
1423-BBBB0082,Bob Miller,bob.miller@example.com,+1-555-587-3412,Male,Yes,No,4,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,82.24,320.94,1
9095-CCCC0083,Bob Miller,bob.miller@example.com,+1-555-583-1766,Female,No,No,19,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,79.41,1530.66,0
8065-BBBB0084,Charlie Miller,charlie.miller@example.com,+1-555-931-5017,Male,Yes,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.73,563.45,0
2870-BBBB0085,George Miller,george.miller@example.com,+1-555-274-8186,Male,Yes,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.8,936.47,0
9120-BBBB0086,Diana Hall,diana.hall@example.com,+1-555-302-2958,Female,No,Yes,50,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card,105.07,5263.51,0
9181-AAAA0087,Ian Davis,ian.davis@example.com,+1-555-225-7397,Male,Yes,No,43,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,79.15,3386.87,1
6696-CCCC0088,Charlie Taylor,charlie.taylor@example.com,+1-555-927-7910,Female,No,No,67,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer,78.95,5257.02,0
7424-CCCC0089,Hannah Hall,hannah.hall@example.com,+1-555-899-4223,Female,Yes,No,12,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card,91.94,1113.47,0
5181-BBBB0090,John Miller,john.miller@example.com,+1-555-298-8981,Female,No,No,67,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,77.32,5178.99,0
9268-DDDD0091,John Hall,john.hall@example.com,+1-555-786-5877,Female,No,No,27,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,84.77,2291.93,1
6256-BBBB0092,Fiona Clark,fiona.clark@example.com,+1-555-279-7361,Female,No,Yes,54,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,81.67,4437.7,0
2016-AAAA0093,George Miller,george.miller@example.com,+1-555-729-1817,Female,No,No,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,94.55,6245.32,1
1994-CCCC0094,George Doe,george.doe@example.com,+1-555-932-4916,Female,Yes,Yes,49,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,88.93,4368.95,0
7941-AAAA0095,George Brown,george.brown@example.com,+1-555-419-3070,Female,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.31,581.3,1
9274-CCCC0096,Alice Smith,alice.smith@example.com,+1-555-736-5806,Female,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,91.04,198.28,1
5525-BBBB0097,John Davis,john.davis@example.com,+1-555-425-7842,Female,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.75,1742.35,0
1512-CCCC0098,Jane Smith,jane.smith@example.com,+1-555-428-4675,Female,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,29.98,1603.43,0
2697-AAAA0099,Jane Johnson,jane.johnson@example.com,+1-555-429-8861,Male,Yes,No,30,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card,69.72,2083.88,0
2914-BBBB0100,Bob Hall,bob.hall@example.com,+1-555-838-3520,Male,Yes,No,38,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,84.27,3192.67,1
7816-AAAA0101,George Wilson,george.wilson@example.com,+1-555-577-6017,Female,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,99.5,2770.17,0
9838-BBBB0102,Julia Taylor,julia.taylor@example.com,+1-555-655-3635,Female,Yes,Yes,25,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.99,2223.11,0
9268-AAAA0103,Charlie Miller,charlie.miller@example.com,+1-555-752-7837,Female,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.26,259.89,0
7697-DDDD0104,John Miller,john.miller@example.com,+1-555-218-6159,Female,No,No,60,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.83,4308.15,0
9933-AAAA0105,Ian Miller,ian.miller@example.com,+1-555-359-3996,Female,No,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,104.34,4386.29,0
2225-BBBB0106,Ian Taylor,ian.taylor@example.com,+1-555-855-8808,Female,Yes,No,40,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,86.14,3455.56,1
6566-CCCC0107,Hannah White,hannah.white@example.com,+1-555-105-7454,Female,Yes,No,42,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,102.0,4268.48,1
6922-BBBB0108,Hannah Clark,hannah.clark@example.com,+1-555-165-3778,Female,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,101.0,4736.55,1
6036-DDDD0109,Charlie White,charlie.white@example.com,+1-555-245-2666,Male,No,No,37,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,99.84,3712.53,1
3646-AAAA0110,Hannah Wilson,hannah.wilson@example.com,+1-555-759-5999,Female,No,Yes,22,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,78.05,1698.26,0
3731-AAAA0111,Alice Hall,alice.hall@example.com,+1-555-569-1360,Male,Yes,Yes,57,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,91.89,5221.57,0
5694-BBBB0112,George Clark,george.clark@example.com,+1-555-953-6714,Female,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.92,1008.38,0
4681-CCCC0113,Ethan Brown,ethan.brown@example.com,+1-555-684-8522,Female,Yes,No,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,99.39,4070.99,1
9963-DDDD0114,Julia White,julia.white@example.com,+1-555-825-4760,Male,Yes,No,34,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,86.56,2963.0,1
5479-DDDD0115,Diana White,diana.white@example.com,+1-555-188-9368,Female,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,111.11,3566.0,0
9678-DDDD0116,Bob Clark,bob.clark@example.com,+1-555-126-9128,Male,Yes,No,66,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card,87.8,5777.34,1
8532-DDDD0117,Jane White,jane.white@example.com,+1-555-388-7983,Female,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,106.37,1312.7,0
8309-BBBB0118,Hannah Thomas,hannah.thomas@example.com,+1-555-916-4999,Female,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card,113.46,4524.49,1
9321-BBBB0119,Bob Hall,bob.hall@example.com,+1-555-630-2261,Male,No,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,94.69,914.48,1
6189-CCCC0120,Jane Wilson,jane.wilson@example.com,+1-555-236-6282,Female,No,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,93.24,4512.0,1
3374-DDDD0121,Ethan Taylor,ethan.taylor@example.com,+1-555-938-5942,Male,No,No,20,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,62.35,1230.26,1
1207-CCCC0122,Charlie Davis,charlie.davis@example.com,+1-555-392-6147,Female,Yes,No,39,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.02,2845.56,1
9139-BBBB0123,Diana Smith,diana.smith@example.com,+1-555-355-8970,Male,Yes,No,60,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,86.17,5167.52,1
5302-BBBB0124,Ian Thomas,ian.thomas@example.com,+1-555-723-6871,Male,No,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,96.6,6387.24,0
7911-CCCC0125,Bob Smith,bob.smith@example.com,+1-555-854-5760,Female,No,No,65,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.27,5505.81,1
1111-BBBB0126,Charlie Taylor,charlie.taylor@example.com,+1-555-364-2980,Female,Yes,No,51,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,98.0,4991.99,1
5709-AAAA0127,Bob White,bob.white@example.com,+1-555-663-9592,Male,Yes,Yes,36,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card,87.63,3147.34,0
2409-BBBB0128,Fiona Clark,fiona.clark@example.com,+1-555-559-4637,Female,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card,93.63,2275.39,1
6872-CCCC0129,Alice Taylor,alice.taylor@example.com,+1-555-232-8164,Female,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,27.61,734.6,1
